24253,24154048,67,5.73
12098,43778010,84,10.2
27715,36509089,20,32.87
30681,10433218,61,37.84
58163,50041084,49,14.37
17290,35623014,113,39.35
55475,34603369,181,16.35
37771,90679032,120,30.44
79551,27726563,153,33.23
78093,71968032,79,21.56
41934,74431144,132,39.53
68811,85288485,125,18.44
56009,78199361,81,26.29
89612,86454285,123,15.63
79018,50041084,193,30.68
70201,42886112,98,18.75
18457,68812638,181,38.01
13778,58904237,46,18.32
46658,85903067,52,14.49
63341,57746371,196,16.25
32415,19425122,171,24.02
34754,14637445,32,11.05
86072,72835456,90,9.54
77880,27592335,163,16.48
18372,27726563,35,26.61
18899,69232329,22,20.05
82425,39967428,190,11.62
57236,90679032,173,38.09
45287,71968032,139,24.29
56010,31446020,145,39.51
50678,92679726,104,31.05
65582,90679032,179,23.29
32854,62602044,93,31.19
57356,19226774,160,10.99
65943,29141777,136,18.0
46971,98401277,187,27.31
63434,14637445,105,17.36
47029,68070571,40,33.63
86196,19425122,114,31.39
79242,13241247,173,18.24
25662,65326947,56,18.28
49190,22951298,153,11.75
52752,81599417,94,6.88
54656,16099388,53,11.56
81063,36509089,97,37.73
71512,29141777,77,38.98
59537,59056072,191,30.19
56350,90997327,116,24.47
84187,92137455,190,31.72
34183,35736691,154,5.49
31664,30802308,154,34.81
18457,98151424,197,7.16
88450,79947626,94,13.0
65943,35736691,125,20.76
21419,42886112,115,39.3
78888,84909343,164,29.07
42147,36743841,113,20.48
43643,27726563,106,17.48
46212,09991002,185,14.99
46525,27847763,113,7.27
76394,29528929,89,30.42
98712,58904237,34,15.41
24180,79803434,51,38.48
52752,09991002,169,9.67
42456,93330374,168,12.0
45064,93787857,29,21.15
58163,71968032,88,38.46
26259,52601811,56,18.33
71604,80972976,168,15.12
15628,35736691,189,38.6
87090,36852703,26,21.12
63186,50041084,191,23.78
88697,66392330,180,10.89
14576,91740021,53,32.59
31193,63520804,178,21.21
81470,69232329,185,36.57
86153,19226774,99,25.65
91215,93857086,53,10.83
70972,13241247,37,18.64
86620,40708539,94,37.96
23375,19226774,189,12.29
52297,95910482,68,38.84
34183,51687953,98,15.01
17857,21753374,42,37.91
19826,57634067,46,32.82
65758,36852703,172,16.44
99290,65326947,138,22.06
15076,72835456,29,36.44
55661,68988944,150,26.62
24515,64483771,49,33.36
35545,27842249,130,16.81
25325,20032319,89,31.22
61452,12653379,49,7.72
35563,46741455,44,17.31
36689,74537518,46,38.17
73411,80972976,187,17.55
52864,63520804,110,6.59
71919,20032319,194,9.6
98363,75759582,119,31.73
22744,98401277,157,14.13
59891,78382077,54,17.35
41391,46741455,85,12.59
55475,83397158,147,13.04
18457,66392330,87,30.88
15076,98401277,191,11.26
85207,48020640,58,38.82
72786,58904237,61,11.1
94154,40875606,79,18.84
73411,79803434,51,33.82
50919,85288485,72,17.3
55929,12892327,141,34.96
84187,50041084,133,33.85
84996,04078531,198,19.4
22733,98401277,49,34.47
76394,48020640,194,17.73
17300,74537518,193,26.76
74543,92137455,144,10.35
98238,04164104,171,25.13
21493,85903067,167,25.48
57285,75759582,140,23.15
66025,46741455,143,6.19
94432,85288485,105,33.02
50389,10408032,73,26.64
47457,55631501,37,22.32
91215,59056072,27,22.13
82127,93330374,155,12.71
63341,05990382,117,29.93
90492,36852703,95,17.81
56068,69367489,167,20.83
47457,86454285,190,29.48
11071,79542203,196,12.37
60755,94580730,74,29.43
55604,91980571,76,28.41
95077,86454285,192,20.3
23398,75759582,100,20.9
56081,36509089,172,31.86
30681,42886112,59,35.53
36689,78382077,84,31.43
73925,45333149,155,24.28
20208,66048763,118,31.42
16761,13243708,112,20.81
58163,64483771,105,38.71
59891,62602044,38,12.25
63132,95910482,62,38.62
25063,40875606,138,7.29
38630,92679726,38,31.93
18457,36852703,187,27.54
71402,68988944,86,14.13
86425,98401277,97,21.06
67878,98406357,157,25.76
65351,29528929,57,29.88
73879,07162022,67,26.59
37804,14637445,100,31.27
87743,30802308,200,15.68
60771,70712612,166,9.81
44854,45333149,180,16.29
95953,05990382,28,16.78
86605,52601811,87,38.79
55475,72835456,175,34.86
26259,27842249,172,34.81
70588,79511520,126,38.48
41305,52601811,195,11.84
41775,13241247,143,39.76
87818,62602044,116,18.41
40690,23814585,195,22.56
87743,69232329,126,24.44
86446,15615886,145,33.91
87818,70712612,50,9.31
18377,90997327,200,36.89
21034,39967428,102,29.21
75586,41879276,132,20.58
22547,70712612,89,21.89
36319,85252462,156,33.08
95953,35736691,66,8.46
27715,41879276,189,34.4
24180,19226774,164,8.24
72983,04164104,124,10.97
99090,23097216,174,13.38
25662,77447166,153,7.87
84996,60654410,200,10.21
80976,92679726,23,25.8
34125,08183651,142,18.12
68522,83397158,70,22.88
17857,30802308,95,31.82
62333,93787857,52,28.46
76895,82144609,97,37.76
17290,32236286,127,16.55
56988,39153906,71,38.75
56081,91740021,75,12.74
10064,13962982,57,18.13
90492,98406357,28,32.15
95783,27592335,23,5.85
16934,82144609,129,30.19
32676,85288485,73,14.39
79714,44232320,101,20.86
59898,46865588,77,7.05
37435,11462200,119,24.85
71604,55816403,137,36.42
84996,98401277,144,32.99
87247,80784869,192,31.73
56311,74431144,136,15.91
32415,41879276,123,19.87
79551,57746371,112,17.24
91215,23097216,159,30.51
64861,34603369,146,21.7
51616,12892327,26,15.68
93156,84909343,111,13.7
38150,74852604,192,23.31
78888,93330374,65,31.34
55408,55631501,178,14.37
70706,24159203,179,31.99
97100,22951298,79,36.55
35545,96806739,45,16.54
20436,59474173,39,13.34
60771,36509089,26,18.38
23375,74537518,93,28.36
95783,48020640,65,25.59
16136,08183651,50,39.82
15491,79511520,135,36.26
55479,93787857,122,13.14
47457,40875606,106,12.11
79018,75759582,62,13.0
16783,75759582,67,19.51
56068,33698021,174,13.93
50389,74537518,115,5.03
35675,87588675,193,39.38
20551,52601811,103,32.74
95450,08183651,135,33.37
94527,90679032,110,37.54
74543,36509089,108,8.55
84816,36743841,88,22.73
52297,77126009,196,20.27
70119,93857086,171,29.24
26541,20032319,80,18.73
19654,03365021,123,16.46
90805,65326947,51,34.25
62207,68070571,82,13.93
99975,68812638,79,36.55
56304,98151424,151,22.02
73879,98406357,93,5.63
81005,62602044,46,8.8
72905,51687953,78,6.89
87684,58904237,155,5.96
92858,64483771,129,29.17
55475,68070571,152,35.81
81137,26647371,190,16.26
37435,57634067,151,27.28
13778,66048763,26,18.71
63638,46865588,52,16.17
38173,14772511,108,13.71
81167,27592335,56,27.09
29011,27847763,96,11.44
81005,51687953,73,15.45
87743,60654410,71,36.52
76324,73191674,189,31.86
36191,94580730,37,19.52
46525,19226774,197,34.19
52896,42886112,174,6.66
73879,63520804,196,16.5
84816,24159203,70,24.55
85207,09991002,155,19.62
30950,86477055,78,37.94
84187,13962982,129,20.07
16453,39825971,127,39.54
91004,19834443,179,23.87
18457,11462200,64,36.63
78981,43778010,163,16.72
87617,50041084,182,6.1
88450,43181582,164,11.7
93954,77447166,158,34.57
87818,70887044,113,36.05
16761,04164104,122,7.98
35563,12892327,86,20.63
51284,32236286,62,9.72
37151,08183651,20,19.6
42504,39153906,28,38.73
47073,14772511,77,32.19
18372,08183651,120,22.74
56081,93330374,50,27.04
85451,15615886,65,24.27
36689,55631501,152,35.42
55712,32236286,60,30.81
74059,79542203,74,29.77
59616,93330374,146,31.93
26373,66115755,72,39.26
46658,80784869,140,39.79
75412,39153371,49,5.0
42456,04078531,159,30.67
75412,08183651,177,17.49
43757,68070571,145,16.17
83398,46865588,20,28.36
68256,31799454,58,8.82
89612,98401277,78,35.94
58620,41094662,65,30.72
28051,04164104,102,5.4
80976,86477055,22,21.53
56081,83397158,80,30.51
92222,79542203,87,35.73
48307,69367489,30,20.59
48307,13962982,148,16.2
42147,22951298,125,35.38
86072,36509089,83,27.33
50678,12892327,133,25.84
86172,05990382,28,5.07
94432,85903067,30,15.91
87833,62602044,123,36.62
39414,11676492,26,32.47
60755,08183651,172,12.13
59633,79803434,183,16.75
